round,date,n1,n2,n3,n4,n5,n6,bonus
98,,4,19,21,28,39,40,20
99,,5,20,28,29,37,41,2
100,,13,19,23,24,30,33,9
101,,11,14,15,18,33,35,40
102,,10,17,25,30,39,44,5
103,,3,24,30,31,35,45,41
104,,15,28,30,32,40,45,38
105,,3,5,6,7,23,39,36
106,,1,3,7,8,13,36,40
107,,11,20,26,30,36,45,23
108,,17,25,27,32,34,35,20
109,,4,7,17,24,34,44,33
110,,13,16,27,30,39,43,38
111,,1,21,25,28,35,37,41
112,,1,3,9,22,34,43,33
113,,6,10,19,22,28,33,43
114,,4,14,15,27,38,44,21
115,,7,10,31,33,35,37,32
116,,7,19,22,29,35,44,42
117,,5,10,18,19,22,37,26
118,,10,15,22,33,34,39,21
119,,3,4,16,23,27,34,19
120,,13,20,22,28,29,36,5
121,,1,6,22,31,32,44,18
122,,16,17,21,28,30,32,8
123,,5,6,12,14,27,38,28
124,,5,9,12,18,33,37,35
125,,8,15,22,27,40,41,36
126,,6,18,21,34,37,41,12
127,,1,7,19,28,29,32,3
128,,5,12,16,22,39,45,6
129,,5,7,11,20,27,38,14
130,,9,20,27,30,40,45,39
131,,12,14,16,18,20,42,4
132,,3,5,9,11,23,28,19
133,,1,3,7,10,42,45,13
134,,4,5,27,29,30,34,17
135,,3,13,25,28,29,42,21
136,,3,4,20,25,41,45,17
137,,2,20,23,37,43,44,3
138,,16,17,20,23,25,26,28
139,,5,8,11,20,25,35,17
140,,2,5,14,32,34,36,19
141,,2,21,24,38,39,45,20
142,,2,4,9,25,38,39,5
143,,10,11,26,40,42,44,31
144,,4,17,19,20,21,27,37
145,,6,11,12,35,40,41,28
146,,5,28,32,38,39,45,4
147,,7,8,14,17,19,38,10
148,,14,19,24,25,33,39,11
149,,2,4,5,37,44,45,27
150,,4,13,16,30,36,44,5
151,,7,9,12,13,22,28,17
152,,8,19,22,30,33,45,36
153,,13,18,20,31,41,43,42
154,,9,19,22,31,34,42,25
155,,1,15,18,29,33,41,5
156,,2,13,16,26,28,38,25
157,,7,16,23,41,42,45,14
158,,5,6,18,23,25,29,4
159,,6,17,19,24,34,37,23
160,,20,22,23,25,33,36,6
161,,7,15,22,26,33,44,4
162,,4,10,23,31,34,43,7
163,,1,5,7,22,43,45,20
164,,1,12,24,29,38,43,18
165,,3,17,18,27,30,38,29
166,,2,12,35,39,40,41,28
167,,1,2,3,8,9,15,7
168,,2,3,6,19,22,30,37
169,,3,18,19,32,34,37,45
170,,3,14,17,24,30,45,2
171,,4,9,11,13,26,39,35
172,,2,4,16,20,33,44,23
173,,17,25,26,31,36,41,39
174,,7,9,15,20,22,31,27
175,,1,3,16,24,36,43,31
176,,1,9,13,18,38,43,3
177,,7,24,27,32,37,42,31
178,,7,13,23,25,29,43,44
179,,4,12,17,18,21,29,14
180,,13,14,18,29,37,44,40
181,,6,9,17,27,31,33,43
182,,5,13,19,22,29,42,30
183,,8,20,34,35,36,40,4
184,,2,4,11,35,39,45,14
185,,7,16,32,35,36,43,33
186,,3,4,5,20,24,39,17
187,,3,20,27,30,35,41,9
188,,2,19,31,35,38,44,26
189,,6,11,29,33,37,42,18
190,,8,17,23,32,38,40,33
191,,14,21,22,26,32,42,12
192,,15,18,31,34,39,41,30
193,,2,11,21,24,28,41,43
194,,2,6,8,10,14,19,28
195,,8,11,18,34,38,44,31
196,,9,14,18,24,40,44,21
197,,2,3,4,18,25,27,11
198,,4,13,23,28,34,41,17
199,,4,5,13,31,33,45,8
200,,10,19,21,23,34,39,16
201,,4,13,25,29,34,42,41
202,,5,14,22,24,27,41,29
203,,6,17,21,30,35,43,26
204,,2,6,8,27,34,35,4
205,,1,15,23,27,37,40,36
206,,6,23,36,39,40,44,27
207,,12,17,22,25,27,34,15
208,,6,13,17,27,40,42,23
209,,5,6,13,16,23,28,9
210,,2,3,15,19,23,38,8
211,,6,19,23,25,32,35,8
212,,11,14,16,37,41,44,39
213,,7,13,22,27,34,35,32
214,,7,21,23,28,34,41,8
215,,1,18,21,26,38,42,16
216,,1,22,25,32,35,38,9
217,,2,19,20,31,39,41,42
218,,17,18,21,33,36,40,16
219,,2,8,17,22,31,45,16
220,,5,10,13,20,22,29,12
221,,4,5,8,24,35,36,43
222,,8,10,12,15,30,41,33
223,,9,14,22,23,31,34,20
224,,5,16,17,29,35,38,31
225,,6,11,17,25,27,45,14
226,,4,6,9,33,43,44,3
227,,6,9,23,24,26,27,32
228,,15,25,35,36,39,44,13
229,,4,8,11,30,35,37,27
230,,7,12,18,30,35,39,15
231,,8,9,23,31,39,45,6
232,,7,16,25,26,34,39,24
233,,9,13,19,32,39,42,37
234,,2,8,17,23,28,38,4
235,,4,5,20,30,35,42,3
236,,12,13,16,17,18,22,34
237,,5,6,7,26,30,39,17
238,,2,3,10,34,36,38,44
239,,1,9,13,26,36,40,12
240,,17,19,25,27,35,45,12
241,,5,9,11,15,40,43,42
242,,1,9,30,31,33,42,21
243,,7,11,12,27,38,45,16
244,,8,10,14,30,37,42,16
245,,5,15,28,29,38,43,10
246,,14,24,33,35,39,42,28
247,,3,4,8,32,33,43,1
248,,6,17,20,22,39,45,38
249,,3,9,21,23,26,37,7
250,,8,16,17,24,25,31,37
251,,2,13,22,26,29,38,20
252,,6,12,22,24,36,38,32
253,,12,15,23,24,31,32,14
254,,4,19,32,33,34,44,7
255,,4,27,28,31,34,37,44
256,,7,11,23,28,33,34,18
257,,4,5,22,29,30,38,37
258,,2,5,7,24,42,44,43
259,,2,6,11,27,32,43,10
260,,1,10,25,37,40,42,12
261,,6,7,9,10,14,38,12
262,,2,11,21,23,31,43,7
263,,10,11,25,35,37,44,15
264,,3,8,14,32,43,44,26
265,,14,15,17,18,31,34,27
266,,11,16,30,32,43,44,10
267,,6,11,12,15,28,29,5
268,,12,17,25,33,34,41,21
269,,6,9,18,19,20,34,4
270,,4,25,29,36,40,44,31
271,,17,22,31,32,33,39,13
272,,3,4,15,35,43,45,18
273,,9,20,24,25,40,43,29
274,,1,13,19,22,31,32,9
275,,4,13,20,27,34,36,2
276,,3,13,17,22,27,30,14
277,,7,22,32,35,38,44,41
278,,1,3,11,13,33,41,42
279,,1,13,19,22,26,34,39
280,,1,2,14,19,23,27,31
281,,4,22,24,33,39,42,17
282,,3,9,10,14,26,32,24
283,,2,16,21,32,36,37,43
284,,5,6,9,10,29,43,22
285,,5,9,15,24,34,44,2
286,,1,9,17,22,29,40,34
287,,7,8,16,21,23,43,18
288,,30,31,32,36,38,45,13
289,,5,20,26,29,38,40,22
290,,3,8,14,16,22,28,34
291,,4,6,11,20,22,26,3
292,,9,12,25,27,28,29,30
293,,5,6,16,19,29,33,41
294,,8,17,25,37,44,45,26
295,,3,6,10,30,33,45,44
296,,1,17,22,34,35,37,5
297,,2,6,9,10,17,36,28
298,,8,16,20,27,42,44,4
299,,5,13,14,25,36,40,7
300,,6,25,26,29,34,36,10
301,,11,20,24,35,38,43,16
302,,10,13,22,26,28,45,17
303,,4,13,15,18,26,31,11
304,,6,12,16,23,32,41,38
305,,4,8,9,19,20,34,33
306,,11,20,26,28,34,38,4
307,,7,17,20,26,27,44,39
308,,2,3,4,12,23,28,9
309,,13,14,21,22,25,31,18
310,,5,7,11,12,15,26,8
311,,11,18,19,23,24,26,10
312,,6,18,31,41,42,45,28
313,,11,17,18,20,43,45,15
314,,25,28,30,32,42,45,40
315,,2,7,8,20,24,44,14
316,,8,10,14,21,23,25,45
317,,6,10,12,20,30,37,35
318,,1,3,8,9,15,33,39
319,,2,3,25,37,39,42,17
320,,19,21,32,34,36,45,20
321,,4,7,17,28,37,42,10
322,,20,30,31,38,39,42,5
323,,1,4,8,18,33,43,27
324,,1,5,6,29,36,37,30
325,,1,5,12,28,32,44,39
326,,5,6,8,31,35,37,7
327,,6,14,20,27,30,41,23
328,,10,13,22,27,31,39,4
329,,16,21,35,38,44,45,19
330,,13,15,16,24,32,43,8
331,,12,18,19,32,38,39,10
332,,5,22,24,30,36,40,31
333,,3,11,17,33,39,40,25
334,,6,15,17,19,21,36,28
335,,3,10,14,22,25,37,19
336,,9,10,23,31,39,43,3
337,,7,8,19,21,30,31,26
338,,6,9,22,26,28,33,20
339,,4,14,18,24,29,40,1
340,,22,23,27,36,38,42,15
341,,12,15,24,28,42,45,5
342,,9,13,14,18,31,37,4
343,,8,12,17,23,28,43,15
344,,11,17,21,33,43,45,14
345,,3,9,28,29,40,41,7
346,,1,20,34,40,42,45,4
347,,1,10,13,18,42,43,3
348,,2,19,32,35,43,45,42
349,,11,16,25,28,29,36,35
350,,6,10,15,22,32,45,35
351,,13,16,28,40,42,43,41
352,,2,10,13,20,22,38,9
353,,6,19,24,27,42,45,25
354,,10,16,25,28,29,30,31
355,,3,8,16,29,31,36,32
356,,6,8,15,26,29,40,27
357,,2,7,10,12,41,42,31
358,,2,29,30,34,35,38,3
359,,1,3,23,25,27,35,45
360,,5,23,32,36,37,44,7
361,,6,18,22,24,38,40,1
362,,10,15,28,32,34,35,41
363,,4,10,14,16,18,21,27
364,,2,9,15,21,38,42,22
365,,12,15,16,23,39,45,25
366,,9,17,25,26,37,39,44
367,,2,13,19,24,29,32,15
368,,1,15,21,32,35,44,12
369,,8,24,25,31,40,44,14
370,,4,15,21,29,37,45,44
371,,16,18,33,35,37,38,30
372,,19,26,28,29,31,35,4
373,,6,7,19,26,33,41,21
374,,5,14,15,31,32,33,10
375,,4,6,10,11,18,37,5
376,,6,7,32,38,39,41,21
377,,4,8,14,21,25,44,20
378,,3,25,34,38,39,40,21
379,,5,15,18,29,33,38,22
380,,13,15,18,25,33,43,29
381,,1,8,9,11,15,35,44
382,,7,23,36,38,42,45,14
383,,2,12,23,25,29,37,38
384,,2,7,8,16,29,35,21
385,,1,21,26,31,32,37,20
386,,5,6,7,18,35,42,10
387,,8,11,13,23,43,44,9
388,,2,6,13,27,31,33,1
389,,4,16,23,36,40,43,42
390,,1,13,14,23,33,44,32
391,,3,4,9,19,28,31,13
392,,1,7,12,19,23,41,30
393,,6,10,13,29,31,39,33
394,,1,18,19,23,29,43,39
395,,7,12,20,25,33,39,38
396,,13,25,28,34,43,44,31
397,,15,17,19,36,37,45,21
398,,7,23,24,28,32,40,42
399,,5,10,24,27,30,44,42
400,,5,9,21,23,29,38,17
401,,1,5,6,30,32,41,27
402,,7,18,19,20,25,34,26
403,,14,17,36,38,42,45,40
404,,4,7,8,11,40,41,39
405,,7,9,15,21,33,34,25
406,,10,14,21,30,31,45,24
407,,9,26,32,34,39,44,42
408,,3,8,11,14,39,45,31
409,,1,11,12,24,36,37,33
410,,4,16,21,31,37,41,13
411,,6,13,21,26,38,44,36
412,,1,24,27,31,32,38,7
413,,1,2,15,33,41,44,40
414,,18,19,22,30,31,37,23
415,,12,20,27,29,41,42,30
416,,3,10,14,19,27,42,43
417,,8,18,22,26,38,42,1
418,,3,5,12,26,27,43,41
419,,14,18,20,23,27,40,1
420,,1,2,11,26,31,33,35
421,,4,5,14,29,38,39,25
422,,1,6,29,37,38,44,7
423,,2,24,25,27,33,36,40
424,,1,10,14,24,32,41,45
425,,14,15,24,31,33,35,21
426,,2,3,10,34,38,43,26
427,,11,18,27,33,35,41,23
428,,16,18,23,26,33,44,10
429,,13,14,28,35,39,44,11
430,,5,6,17,31,36,42,13
431,,16,20,21,26,35,43,15
432,,10,30,37,39,40,42,28
433,,6,7,15,22,30,44,26
434,,6,11,16,36,39,45,41
435,,4,9,12,13,20,35,6
436,,10,20,28,30,42,45,41
437,,7,10,12,14,31,41,34
438,,3,6,18,27,29,30,37
439,,5,14,23,27,32,39,42
440,,4,6,14,23,28,44,40
441,,11,13,24,32,38,40,9
442,,6,16,21,25,36,42,19
443,,6,9,11,28,36,40,38
444,,6,9,12,14,21,39,4
445,,1,9,20,28,38,39,10
446,,7,18,20,22,39,41,25
447,,16,23,28,29,33,38,25
448,,10,11,24,38,41,43,35
449,,14,19,21,29,33,35,2
450,,4,13,16,26,31,36,45
451,,9,12,16,17,32,40,25
452,,9,18,25,30,38,42,11
453,,2,7,8,9,13,45,44
454,,5,15,16,19,36,38,10
455,,13,14,23,30,31,32,6
456,,3,9,11,13,21,44,36
457,,12,16,19,30,33,41,23
458,,15,17,22,25,26,31,4
459,,2,6,9,15,32,41,13
460,,17,20,25,36,37,44,3
461,,1,3,16,22,31,39,41
462,,9,12,31,35,40,45,29
463,,3,13,14,16,18,25,21
464,,4,7,23,27,29,39,3
465,,9,10,16,22,28,38,26
466,,1,10,16,21,38,39,15
467,,19,28,32,33,38,40,41
468,,2,21,28,29,39,43,40
469,,18,20,23,28,31,43,17
470,,5,9,12,18,24,40,34
471,,6,7,9,12,27,44,4
472,,1,4,8,9,41,42,36
473,,15,20,35,36,37,39,11
474,,4,6,9,17,23,36,14
475,,7,16,18,23,28,45,15
476,,1,2,4,6,21,43,32
477,,14,18,29,33,34,45,21
478,,5,11,13,27,29,36,2
479,,12,14,25,26,38,39,24
480,,4,5,14,31,33,37,7
481,,5,14,17,26,30,45,3
482,,2,19,20,24,26,38,21
483,,3,4,16,22,26,27,34
484,,2,14,22,33,34,42,8
485,,4,8,11,19,25,37,43
486,,3,4,12,35,38,39,13
487,,4,15,27,28,30,35,1
488,,7,11,16,21,29,36,33
489,,13,24,29,34,44,45,8
490,,17,18,23,30,38,40,1
491,,1,7,18,24,31,33,22
492,,1,14,24,26,33,41,17
493,,10,11,18,20,23,26,16
494,,7,8,11,19,29,42,17
495,,3,6,10,12,23,37,34
496,,4,5,20,29,34,42,1
497,,18,22,26,33,40,42,6
498,,6,13,16,18,29,40,20
499,,11,13,19,32,34,42,41
500,,6,14,15,19,22,29,3
501,,1,2,20,23,34,39,15
502,,4,6,29,36,37,40,41
503,,4,5,7,17,20,34,31
504,,7,10,12,15,22,33,1
505,,18,20,26,27,28,34,21
506,,1,17,20,22,31,38,24
507,,1,13,19,21,28,41,9
508,,10,11,12,18,20,41,38
509,,5,6,15,17,29,44,33
510,,9,18,23,38,40,44,25
511,,2,23,26,38,42,44,21
512,,5,7,17,32,35,41,23
513,,3,5,6,7,28,34,25
514,,7,19,20,22,24,38,41
515,,4,9,17,23,27,32,36
516,,2,11,13,34,35,42,4
517,,3,5,7,22,42,43,37
518,,2,10,11,27,32,42,30
519,,1,3,20,28,43,45,39
520,,7,15,28,30,35,42,32
521,,3,12,20,22,39,42,6
522,,8,22,23,24,27,39,34
523,,2,12,24,28,30,36,34
524,,12,13,24,28,30,35,18
525,,9,17,28,39,40,42,18
526,,18,19,21,25,37,40,26
527,,10,23,33,39,40,41,26
528,,3,25,26,31,39,43,32
529,,18,20,22,36,43,44,15
530,,17,23,24,28,38,42,4
531,,8,16,19,30,33,41,11
532,,6,11,13,24,34,44,5
533,,22,26,33,37,41,42,19
534,,7,18,30,36,41,45,10
535,,11,17,22,24,32,35,8
536,,2,8,10,14,19,32,21
537,,4,5,10,28,43,44,16
538,,20,30,35,36,40,44,42
539,,4,9,16,18,25,29,22
540,,5,8,27,37,38,40,42
541,,13,22,24,25,43,44,1
542,,4,26,35,39,41,45,33
543,,3,5,12,29,31,37,35
544,,12,16,20,24,29,38,22
545,,2,24,26,31,32,34,33
546,,1,6,11,20,27,31,41
547,,11,17,18,19,33,41,20
548,,7,10,12,16,17,43,20
549,,2,4,8,19,30,45,42
550,,28,31,32,41,44,45,34
551,,2,9,18,31,38,41,1
552,,1,10,31,38,39,44,2
553,,12,13,20,22,32,34,30
554,,3,6,17,18,35,41,26
555,,2,16,17,20,23,43,10
556,,11,22,26,28,35,42,21
557,,10,23,28,30,35,40,34
558,,2,3,4,24,36,43,37
559,,16,22,31,34,35,40,11
560,,5,11,24,25,29,32,23
561,,3,4,12,23,37,38,22
562,,1,2,15,20,21,34,32
563,,12,15,16,19,27,30,1
564,,9,17,23,29,38,43,26
565,,4,9,16,24,30,34,12
566,,2,4,5,16,29,41,14
567,,10,11,25,26,28,36,45
568,,8,14,16,17,22,40,29
569,,5,9,10,17,31,45,40
570,,6,16,32,39,42,43,15
571,,9,23,26,29,34,42,30
572,,14,19,27,33,37,42,29
573,,10,12,20,23,29,43,16
574,,4,13,17,22,35,37,31
575,,1,5,10,11,32,37,25
576,,2,5,7,16,27,36,19
577,,6,8,9,16,17,25,14
578,,7,11,15,19,30,38,45
579,,9,16,19,20,35,42,7
580,,15,31,34,39,41,44,13
581,,6,24,26,33,39,44,25
582,,4,5,8,24,26,28,17
583,,9,16,17,26,29,31,22
584,,8,10,19,27,33,42,38
585,,15,24,26,29,30,43,39
586,,13,21,27,29,30,33,6
587,,1,6,7,22,24,28,23
588,,1,9,14,16,21,39,25
589,,5,22,31,35,38,39,24
590,,5,7,12,30,31,43,44
591,,2,3,10,17,32,36,24
592,,4,6,16,22,27,34,43
593,,8,14,25,33,38,42,2
594,,8,12,33,37,40,41,2
595,,4,20,21,28,33,42,39
596,,3,21,33,34,36,45,13
597,,6,17,20,30,41,43,39
598,,1,6,17,18,21,42,38
599,,6,14,17,21,30,40,12
600,,9,13,24,29,32,43,17
601,,8,10,21,25,34,38,36
602,,9,15,16,28,30,45,3
603,,10,15,20,25,26,43,14
604,,3,17,19,31,33,35,2
605,,9,17,19,29,40,42,43
606,,3,8,20,23,28,41,21
607,,4,5,10,30,35,40,16
608,,5,11,22,34,36,38,6
609,,9,10,28,33,35,44,17
610,,5,11,14,33,38,43,40
611,,20,25,31,33,39,43,15
612,,7,9,17,29,34,41,1
613,,7,10,16,29,34,39,20
614,,2,10,13,18,36,37,43
615,,10,19,29,31,32,45,4
616,,11,14,16,26,30,39,27
617,,1,4,15,16,29,38,21
618,,15,17,19,22,26,32,33
619,,6,17,19,31,34,41,5
620,,3,7,10,15,24,43,27
621,,2,10,21,25,26,42,8
622,,1,4,5,9,31,37,18
623,,4,9,13,29,39,43,31
624,,9,19,26,31,37,44,30
625,,2,4,7,16,23,32,43
626,,4,23,37,38,41,45,19
627,,8,17,26,28,40,42,2
628,,2,3,27,37,43,44,34
629,,8,9,24,30,33,39,16
630,,4,13,14,21,32,39,36
631,,8,20,21,26,27,28,44
632,,28,30,32,37,40,45,24
633,,4,5,9,15,20,23,38
634,,3,11,22,31,37,42,7
635,,21,25,31,36,41,44,38
636,,7,10,15,18,22,29,31
637,,2,10,18,23,39,40,20
638,,4,5,12,16,25,42,28
639,,8,12,20,22,40,42,37
640,,2,5,16,35,37,43,23
641,,3,7,13,37,39,40,17
642,,4,5,14,15,21,29,12
643,,1,8,19,21,28,35,40
644,,11,25,30,34,36,37,6
645,,7,8,25,30,35,38,24
646,,13,15,24,31,35,45,27
647,,7,24,25,26,32,37,34
648,,12,15,23,32,36,40,35
649,,4,23,24,26,32,43,44
650,,7,18,21,27,28,29,23
651,,6,9,13,22,28,37,12
652,,3,7,19,33,36,39,15
653,,5,11,22,23,24,29,36
654,,10,17,18,23,32,42,19
655,,3,12,13,16,22,42,14
656,,6,19,23,31,32,43,3
657,,2,11,13,17,33,38,15
658,,1,4,6,14,30,45,26
659,,11,13,16,19,20,33,28
660,,10,21,28,35,40,41,7
661,,3,9,25,29,34,42,30
662,,22,27,31,33,36,43,30
663,,8,14,17,20,31,34,15
664,,16,20,29,32,41,45,19
665,,6,7,11,27,32,35,19
666,,7,23,24,32,33,43,14
667,,4,12,21,23,32,35,43
668,,7,10,15,23,26,35,20
669,,9,12,18,30,31,44,1
670,,10,22,32,34,43,45,27
671,,17,23,27,28,40,43,45
672,,14,15,26,34,40,41,17
673,,28,32,33,37,42,43,14
674,,1,6,23,28,37,41,26
675,,3,4,13,35,42,45,43
676,,4,18,20,26,36,43,8
677,,9,12,19,34,36,40,6
678,,10,28,31,33,34,40,7
679,,2,7,29,30,34,43,45
680,,9,12,16,23,30,35,1
681,,6,13,22,32,35,42,28
682,,9,11,29,33,41,44,31
683,,1,13,18,30,32,33,3
684,,2,16,21,30,41,42,32
685,,8,20,24,28,33,37,18
686,,2,3,20,29,39,44,10
687,,2,7,15,21,23,44,28
688,,2,5,17,20,22,33,30
689,,5,8,16,25,27,45,29
690,,4,11,17,25,35,41,10
691,,7,8,19,32,40,42,1
692,,6,10,18,20,22,35,19
693,,1,2,9,12,20,27,28
694,,5,12,24,31,36,37,16
695,,11,19,23,34,35,44,3
696,,11,12,14,16,18,24,15
697,,4,8,20,23,35,37,43
698,,21,24,25,35,38,44,39
699,,1,10,11,16,29,38,37
700,,1,2,26,31,40,43,25
701,,8,12,25,36,38,44,32
702,,2,4,6,7,20,35,19
703,,5,7,12,19,23,36,41
704,,6,12,18,24,26,34,13
705,,6,14,18,32,40,41,4
706,,8,16,17,21,30,40,29
707,,2,20,26,27,29,42,33
708,,4,6,8,25,29,36,41
709,,1,3,7,17,33,41,36
710,,5,9,10,25,28,42,44
711,,1,4,11,16,22,29,10
712,,4,6,19,29,32,39,45
713,,8,32,35,39,40,41,27
714,,1,7,8,16,20,42,31
715,,3,4,8,22,25,28,19
716,,4,14,15,24,33,35,28
717,,6,16,27,30,32,42,36
718,,5,7,16,19,27,28,11
719,,6,23,28,33,36,43,3
720,,1,4,23,29,34,41,38
721,,5,10,11,25,29,44,40
722,,15,21,23,33,39,41,17
723,,4,17,28,33,41,44,22
724,,1,3,6,26,29,43,23
725,,3,9,13,22,31,43,34
726,,5,11,13,34,37,43,18
727,,5,9,12,20,30,38,43
728,,3,10,19,29,41,45,40
729,,2,8,9,22,23,28,24
730,,3,10,14,19,33,43,4
731,,20,28,31,39,42,45,1
732,,5,9,18,23,32,44,20
733,,2,8,19,23,41,45,37
734,,4,7,23,28,38,44,42
735,,10,19,25,31,36,39,15
736,,6,12,27,28,32,45,2
737,,3,10,16,26,27,31,29
738,,8,12,13,22,26,44,29
739,,5,8,9,24,32,38,18
740,,4,10,12,26,30,39,33
741,,6,13,15,21,34,35,20
742,,11,13,14,25,44,45,17
743,,6,8,26,35,39,44,15
744,,12,24,34,39,42,44,10
745,,8,9,16,24,42,45,31
746,,3,4,6,20,22,37,10
747,,4,5,9,13,38,40,35
748,,8,16,18,27,29,31,23
749,,9,15,16,30,42,44,19
750,,3,6,26,31,41,43,2
751,,3,14,20,33,36,39,19
752,,2,6,17,19,31,40,28
753,,3,12,15,16,24,41,5
754,,3,14,16,23,36,42,29
755,,13,14,17,24,31,45,3
756,,14,15,18,31,35,44,39
757,,3,21,26,30,34,37,8
758,,4,12,16,27,29,34,15
759,,11,21,28,38,39,41,32
760,,6,14,15,29,39,44,35
761,,5,6,7,16,18,41,23
762,,1,7,12,14,37,44,15
763,,3,7,20,34,40,44,29
764,,1,2,8,16,33,39,44
765,,3,6,18,37,40,43,32
766,,11,19,23,30,32,36,35
767,,5,14,15,17,30,45,43
768,,4,9,17,30,33,45,28
769,,4,5,14,36,38,44,35
770,,3,5,17,34,36,40,43
771,,2,16,25,32,38,39,42
772,,23,26,33,34,40,43,38
773,,1,5,23,25,27,45,11
774,,9,10,25,29,35,37,45
775,,1,10,27,30,31,43,32
776,,1,2,18,21,28,41,13
777,,6,8,11,12,25,26,16
778,,9,11,14,24,31,37,10
779,,3,26,30,36,37,45,41
780,,10,12,17,24,27,29,9
781,,17,21,27,35,36,43,1
782,,8,13,15,21,25,37,45
783,,6,18,20,36,41,42,14
784,,7,9,19,22,26,32,17
785,,5,6,24,34,36,43,9
786,,4,9,10,12,13,17,39
787,,1,13,19,28,32,43,22
788,,2,10,21,27,34,37,43
789,,4,14,28,32,37,45,20
790,,4,6,14,15,20,23,39
791,,14,16,17,22,26,27,30
792,,1,3,6,14,26,36,23
793,,7,9,14,17,31,38,2
794,,2,8,14,36,39,45,7
795,,3,12,13,19,24,36,43
796,,6,9,10,23,36,42,25
797,,10,30,31,37,40,43,32
798,,3,5,16,22,28,45,34
799,,6,13,21,34,36,37,11
800,,3,4,6,11,18,45,17
801,,1,16,21,28,33,42,5
802,,5,6,13,17,31,32,36
803,,5,6,18,31,39,40,22
804,,3,24,26,32,33,39,16
805,,11,22,25,31,39,41,33
806,,6,11,18,19,23,32,42
807,,4,6,14,22,32,37,40
808,,2,14,27,39,40,43,38
809,,10,12,15,25,33,43,28
810,,3,8,9,20,30,40,28
811,,6,9,18,21,28,34,19
812,,6,16,19,23,29,32,40
813,,3,10,14,20,33,43,31
814,,4,12,23,37,39,44,24
815,,8,15,19,28,33,38,45
816,,7,13,18,25,29,44,34
817,,3,6,14,25,35,43,23
818,,2,15,22,29,34,42,4
819,,1,14,37,39,41,43,23
820,,20,23,29,31,36,42,5
