round,date,n1,n2,n3,n4,n5,n6,bonus,prize1_winners,prize1_amount,total_sales
92,2004-09-04,3,14,24,33,35,36,17,50,45219931,58296001000
93,2004-09-11,6,22,24,36,38,44,19,26,87276083,57236313000
94,2004-09-18,5,32,34,40,41,45,6,38,59087894,57144729000
95,2004-09-25,8,17,27,31,34,43,14,48,48548368,60077493000
96,2004-10-02,1,3,8,21,22,31,20,38,56710240,54217572000
97,2004-10-09,6,7,14,15,20,36,3,46,48789587,57713200000
98,2004-10-16,6,9,16,23,24,32,43,45,47081072,56231084000
99,2004-10-23,1,3,10,27,29,37,11,40,54230477,56207491000
100,2004-10-30,1,7,11,23,37,42,6,36,61394732,56561977000
101,2004-11-06,1,3,17,32,35,45,8,38,59370560,57585065000
102,2004-11-13,17,22,24,26,35,40,42,24,91072067,56937962000
103,2004-11-20,5,14,15,27,30,45,10,38,59354020,57420615000
104,2004-11-27,17,32,33,34,42,44,35,23,95807881,56533705000
105,2004-12-04,8,10,20,34,41,45,28,26,87609781,57479716000
106,2004-12-11,4,10,12,22,24,33,29,40,54030744,57384485000
107,2004-12-18,1,4,5,6,9,31,17,35,63618360,57545202000
108,2004-12-25,7,18,22,23,29,44,12,41,56879291,58875228000
109,2005-01-01,1,5,34,36,42,44,33,31,80441175,62584098000
110,2005-01-08,7,20,22,23,29,43,1,38,60082395,57625490000
111,2005-01-15,7,18,31,33,36,40,27,51,43118578,57876999000
112,2005-01-22,26,29,30,33,41,42,43,32,73465836,59292005000
113,2005-01-29,4,9,28,33,36,45,26,43,54471940,59258248000
114,2005-02-05,11,14,19,26,28,41,2,41,57618172,60079401000
115,2005-02-12,1,2,6,9,25,28,31,34,65673070,59130557000
116,2005-02-19,2,4,25,31,34,37,17,56,41619736,61606084000
117,2005-02-26,5,10,22,34,36,44,35,50,46751350,59429610000
118,2005-03-05,3,4,10,17,19,22,38,41,52763810,57171934000
119,2005-03-12,3,11,13,14,17,21,38,49,45149982,57800632000
120,2005-03-19,4,6,10,11,32,37,30,31,70395650,57418983000
121,2005-03-26,12,28,30,34,38,43,9,31,73544604,57134544000
122,2005-04-02,1,11,16,17,36,40,8,38,57239756,56171704000
123,2005-04-09,7,17,18,28,30,45,27,38,55547866,54097448000
124,2005-04-16,4,16,23,25,29,42,1,37,56592011,54180838000
125,2005-04-23,2,8,32,33,35,36,18,36,56870813,53149705000
126,2005-04-30,7,20,22,27,40,43,1,35,58684350,52748965000
127,2005-05-07,3,5,10,29,32,43,35,43,45719516,50752603000
128,2005-05-14,12,30,34,36,37,45,39,23,89741005,52310392000
129,2005-05-21,19,23,25,28,38,42,17,50,40099754,51555754000
130,2005-05-28,7,19,24,27,42,45,31,30,67477704,51359012000
131,2005-06-04,8,10,11,14,15,21,37,33,58634929,50231773000
132,2005-06-11,3,17,23,34,41,45,43,34,57264187,49921897000
133,2005-06-18,4,7,15,18,23,26,13,51,37914840,50889926000
134,2005-06-25,3,12,20,23,31,35,43,50,39152585,50445575000
135,2005-07-02,6,14,22,28,35,39,16,28,71553897,51062672000
136,2005-07-09,2,16,30,36,41,42,11,26,76834391,51144633000
137,2005-07-16,7,9,20,25,36,39,15,40,47640130,49978654000
138,2005-07-23,10,11,27,28,37,39,19,32,57998750,47688450000
139,2005-07-30,9,11,15,20,28,43,13,28,68758759,48371085000
140,2005-08-06,3,13,17,18,19,28,8,34,51702521,45983464000
141,2005-08-13,8,12,29,31,42,43,2,29,65536290,48016958000
142,2005-08-20,12,16,30,34,40,44,19,28,66672150,48012844000
143,2005-08-27,26,27,28,42,43,45,8,35,56494068,49415357000
144,2005-09-03,4,15,17,26,36,37,43,38,49208436,49202521000
145,2005-09-10,2,3,13,20,27,44,9,38,49971556,48913832000
146,2005-09-17,2,19,27,35,41,42,25,34,59249170,50677555000
147,2005-09-24,4,6,13,21,40,42,36,35,56668008,50345605000
148,2005-10-01,21,25,33,34,35,36,17,35,55323725,49523247000
149,2005-10-08,2,11,21,34,41,42,27,43,44470407,48406950000
150,2005-10-15,2,18,25,28,37,39,16,46,41038346,48763778000
151,2005-10-22,1,2,10,13,18,19,15,45,40246430,47357067000
152,2005-10-29,1,5,13,26,29,34,43,30,63281440,48180334000
153,2005-11-05,3,8,11,12,13,36,33,52,35006746,47777735000
154,2005-11-12,6,19,21,35,40,45,20,32,59096432,48022386000
155,2005-11-19,16,19,20,32,33,41,4,37,48365098,46140202000
156,2005-11-26,5,18,28,30,42,45,2,30,62271107,47344584000
157,2005-12-03,19,26,30,33,35,39,37,28,65296474,46853365000
158,2005-12-10,4,9,13,18,21,34,7,45,39612754,46368888000
159,2005-12-17,1,18,30,41,42,43,32,24,73141971,44311926000
160,2005-12-24,3,7,8,34,39,41,1,32,57195890,46833239000
161,2005-12-31,22,34,36,40,42,45,44,63,33275487,53096453000
162,2006-01-07,1,5,21,25,38,41,24,33,58289540,49050086000
163,2006-01-14,7,11,26,28,29,44,16,47,40454205,49018952000
164,2006-01-21,6,9,10,11,39,41,27,39,51986384,53052119000
165,2006-01-28,5,13,18,19,22,42,31,40,56395223,58088118000
166,2006-02-04,9,12,27,36,39,45,14,28,72763690,52157466000
167,2006-02-11,24,27,28,30,36,39,4,36,57667198,52744392000
168,2006-02-18,3,10,31,40,42,43,30,54,36264613,51496212000
169,2006-02-25,16,27,35,37,43,45,19,31,66744312,52076183000
170,2006-03-04,2,11,13,15,31,42,10,27,71226232,49718245000
171,2006-03-11,4,16,25,29,34,35,1,19,103228406,50357474000
172,2006-03-18,4,19,21,24,26,41,35,19,104321885,50758266000
173,2006-03-25,3,9,24,30,33,34,18,63,31486493,52286521000
174,2006-04-01,13,14,18,22,35,39,16,26,79472574,52340568000
175,2006-04-08,19,26,28,31,33,36,17,48,41165497,50895147000
176,2006-04-15,4,17,30,32,33,34,15,40,48222148,50488528000
177,2006-04-22,1,10,13,16,37,43,6,30,65849992,50480325000
178,2006-04-29,1,5,11,12,18,23,9,44,42701157,49582758000
179,2006-05-06,5,9,17,25,39,43,32,53,33996665,47291694000
180,2006-05-13,2,15,20,21,29,34,22,35,54889253,48895477000
181,2006-05-20,14,21,23,32,40,45,44,24,80906805,49124446000
182,2006-05-27,13,15,27,29,34,40,35,44,42289085,47222594000
183,2006-06-03,2,18,24,34,40,42,5,25,71088860,45938460000
184,2006-06-10,1,2,6,16,20,33,41,31,56379131,45503351000
185,2006-06-17,1,2,4,8,19,38,14,34,51801262,45783088000
186,2006-06-24,4,10,14,19,21,45,9,46,38735303,45484428000
187,2006-07-01,1,2,8,18,29,38,42,19,94852082,45855961000
188,2006-07-08,19,24,27,30,31,34,36,33,53051594,45176242000
189,2006-07-15,8,14,32,35,37,45,28,33,52451138,43650551000
190,2006-07-22,8,14,18,30,31,44,15,33,54065438,44864459000
191,2006-07-29,5,6,24,25,32,37,8,23,74698977,44534869000
192,2006-08-05,4,8,11,18,37,45,33,38,42900849,42035065000
193,2006-08-12,6,14,18,26,36,39,13,20,85111243,43788477000
194,2006-08-19,15,20,23,26,39,44,28,21,84145012,44511515000
195,2006-08-26,7,10,19,22,35,40,31,66,25527572,44374725000
196,2006-09-02,35,36,37,41,44,45,30,27,67395975,45773496000
197,2006-09-09,7,12,16,34,42,45,4,42,42929008,45993306000
198,2006-09-16,12,19,20,25,41,45,2,25,71914202,45614021000
199,2006-09-23,14,21,22,25,30,36,43,23,77452931,45021068000
200,2006-09-30,5,6,13,14,17,20,7,58,30910727,46640423000
201,2006-10-07,3,11,24,38,39,44,26,37,43781376,42254768000
202,2006-10-14,12,14,27,33,39,44,17,40,47334793,48304034000
203,2006-10-21,1,3,11,24,30,32,7,43,41948930,47033359000
204,2006-10-28,3,12,14,35,40,45,5,23,78744761,46077750000
205,2006-11-04,1,3,21,29,35,37,30,21,87391515,46330516000
206,2006-11-11,1,2,3,15,20,25,43,36,47056930,44326979000
207,2006-11-18,3,11,14,31,32,37,38,37,47402563,45282336000
208,2006-11-25,14,25,31,34,40,44,24,34,51787277,45516378000
209,2006-12-02,2,7,18,20,24,33,37,34,48849893,43753377000
210,2006-12-09,10,19,22,23,25,37,39,46,37239754,44757963000
211,2006-12-16,12,13,17,20,33,41,8,29,59528750,45332675000
212,2006-12-23,11,12,18,21,31,38,8,36,49273098,46139120000
213,2006-12-30,2,3,4,5,20,24,42,33,55623355,48745094000
214,2007-01-06,5,7,20,25,28,37,32,36,52110403,49195740000
215,2007-01-13,2,3,7,15,43,44,4,32,57884518,47675761000
216,2007-01-20,7,16,17,33,36,40,1,63,29181427,48342018000
217,2007-01-27,16,20,27,33,35,39,38,29,64820249,48260644000
218,2007-02-03,1,8,14,18,29,44,20,26,71258354,47018314000
219,2007-02-10,4,11,20,26,35,37,16,41,44210092,46903745000
220,2007-02-17,5,11,19,21,34,43,31,28,69931963,50383399000
221,2007-02-24,2,20,33,35,37,40,10,44,40911461,47674135000
222,2007-03-03,5,7,28,29,39,43,44,33,57454390,47735197000
223,2007-03-10,1,3,18,20,26,27,38,39,44817070,46036874000
224,2007-03-17,4,19,26,27,30,42,7,26,69575768,46435109000
225,2007-03-24,5,11,13,19,31,36,7,41,43346386,46352016000
226,2007-03-31,2,6,8,14,21,22,34,38,45897373,45145643000
227,2007-04-07,4,5,15,16,22,42,2,24,72965867,44444776000
228,2007-04-14,17,25,35,36,39,44,23,39,44103859,44764100000
229,2007-04-21,4,5,9,11,23,38,35,27,62716591,44762989000
230,2007-04-28,5,11,14,29,32,33,12,25,68956222,44191351000
231,2007-05-05,5,10,19,31,44,45,27,19,85923624,42355627000
232,2007-05-12,8,9,10,12,24,44,35,18,92576534,43564632000
233,2007-05-19,4,6,13,17,28,40,39,26,64048318,43516805000
234,2007-05-26,13,21,22,24,26,37,4,23,73036055,42814085000
235,2007-06-02,21,22,26,27,31,37,8,29,59195347,43347391000
236,2007-06-09,1,4,8,13,37,39,7,41,40894636,42941871000
237,2007-06-16,1,11,17,21,24,44,33,39,43095792,43358287000
238,2007-06-23,2,4,15,28,31,34,35,29,58016926,42952477000
239,2007-06-30,11,15,24,39,41,44,7,29,58662423,43296565000
240,2007-07-07,6,10,16,40,41,43,21,28,60693470,43603443000
241,2007-07-14,2,16,24,27,28,35,21,34,50039536,43246894000
242,2007-07-21,4,19,20,21,32,34,43,36,45723792,42679760000
243,2007-07-28,2,12,17,19,28,42,34,29,55375863,41304830000
244,2007-08-04,13,16,25,36,37,38,19,25,60810554,39411047000
245,2007-08-11,9,11,27,31,32,38,22,35,46086105,41854623000
246,2007-08-18,13,18,21,23,26,39,15,26,61274816,41453154000
247,2007-08-25,12,15,28,36,39,40,13,29,57562549,42231698000
248,2007-09-01,3,8,17,23,38,45,13,23,71158224,42348403000
249,2007-09-08,3,8,27,31,41,44,11,29,57364438,42539134000
250,2007-09-15,19,23,30,37,43,45,38,17,97780700,42122808000
251,2007-09-22,6,7,19,25,28,38,45,40,42753880,44493014000
252,2007-09-29,14,23,26,31,39,45,28,24,67622417,41207920000
253,2007-10-06,8,19,25,31,34,36,33,20,82206318,42309347000
254,2007-10-13,1,5,19,20,24,30,27,33,49197050,42259113000
255,2007-10-20,1,5,6,24,27,42,32,13,122970658,41425341000
256,2007-10-27,4,11,14,21,23,43,32,34,47951148,41996580000
257,2007-11-03,6,13,27,31,32,37,4,18,88569520,41433637000
258,2007-11-10,14,27,30,31,38,40,17,28,57772247,41364428000
259,2007-11-17,4,5,14,35,42,45,34,25,64513780,40905570000
260,2007-11-24,7,12,15,24,37,40,43,26,59232964,40140211000
261,2007-12-01,6,11,16,18,31,43,2,32,49879674,41215041000
262,2007-12-08,9,12,24,25,29,31,36,21,71726058,39232234000
263,2007-12-15,1,27,28,32,37,40,18,27,57470552,39677128000
264,2007-12-22,9,16,27,36,41,44,5,27,58112497,39783178000
265,2007-12-29,5,9,34,37,38,39,12,19,84269374,40913922000
266,2008-01-05,3,4,9,11,22,42,37,36,44544607,41937067000
267,2008-01-12,7,8,24,34,36,41,1,28,58172559,41835853000
268,2008-01-19,3,10,19,24,32,45,12,35,45031818,41213802000
269,2008-01-26,5,18,20,36,42,43,32,22,74295453,41357619000
270,2008-02-02,5,9,12,20,21,26,27,32,50203908,41845351000
271,2008-02-09,3,8,9,27,29,40,36,28,55925649,40879633000
272,2008-02-16,7,9,12,27,39,43,28,39,42485493,43310674000
273,2008-02-23,1,8,24,31,34,44,6,21,79512931,42816211000
274,2008-03-01,13,14,15,26,35,39,25,37,45136678,42631711000
275,2008-03-08,14,19,20,35,38,40,26,19,88105850,42329813000
276,2008-03-15,4,15,21,33,39,41,25,31,53428533,42567610000
277,2008-03-22,10,12,13,15,25,29,20,31,52784320,41868708000
278,2008-03-29,3,11,37,39,41,43,13,27,59009815,41088180000
279,2008-04-05,7,16,31,36,37,38,11,27,59080412,41130542000
280,2008-04-12,10,11,23,24,36,37,35,27,58560554,40673999000
281,2008-04-19,1,3,4,6,14,41,12,37,42018465,40800514000
282,2008-04-26,2,5,10,18,31,32,30,32,48199836,41051175000
283,2008-05-03,6,8,18,31,38,45,42,24,65358846,40133316000
284,2008-05-10,2,7,15,24,30,45,28,14,111344297,39773403000
285,2008-05-17,13,33,37,40,41,45,2,26,60853272,40364871000
286,2008-05-24,1,15,19,40,42,44,17,27,59936413,40944483000
287,2008-05-31,6,12,24,27,35,37,41,37,41894594,40623489000
288,2008-06-07,1,12,17,28,35,41,10,24,65479488,39970134000
289,2008-06-14,3,14,33,37,38,42,10,24,63761694,39406643000
290,2008-06-21,8,13,18,32,39,45,7,61,51251650,80362302000
291,2008-06-28,3,7,8,18,20,42,45,39,43393575,44143418000
292,2008-07-05,17,18,31,32,33,34,10,37,45428988,43394631000
293,2008-07-12,1,9,17,21,29,33,24,21,78893543,42399708000
294,2008-07-19,6,10,17,30,37,38,40,26,61705256,41563813000
295,2008-07-26,1,4,12,16,18,38,8,26,62969875,42248135000
296,2008-08-02,3,8,15,27,30,45,44,53,46243415,63377899000
297,2008-08-09,6,11,19,20,28,32,34,28,60198438,43641475000
298,2008-08-16,5,9,27,29,37,40,19,40,41290744,43151675000
299,2008-08-23,1,3,20,25,36,45,24,29,59691999,44463909000
300,2008-08-30,7,9,10,12,26,38,39,34,49181908,44465047000
301,2008-09-06,7,11,13,33,37,43,26,47,35927997,44377177000
302,2008-09-13,13,19,20,32,38,42,4,44,41455813,46382605000
303,2008-09-20,2,14,17,30,38,45,43,29,57681000,42841760000
304,2008-09-27,4,10,16,26,33,41,38,37,44909356,43158653000
305,2008-10-04,7,8,18,21,23,39,9,34,49220837,43960659000
306,2008-10-11,4,18,23,30,34,41,19,23,76183679,44421462000
307,2008-10-18,5,15,21,23,25,45,12,28,61610554,43880990000
308,2008-10-25,14,15,17,19,37,45,40,27,63165882,43339416000
309,2008-11-01,1,2,5,11,18,36,22,25,66119016,44157528000
310,2008-11-08,1,5,19,28,34,41,16,29,59619004,43718082000
311,2008-11-15,4,12,24,27,28,32,10,43,38378018,43209215000
312,2008-11-22,2,3,5,6,12,20,25,58,27112838,42255391000
313,2008-11-29,9,17,34,35,43,45,2,26,65977800,43672096000
314,2008-12-06,15,17,19,34,38,41,2,24,69188009,42328094000
315,2008-12-13,1,13,33,35,43,45,23,32,54530360,44339180000
316,2008-12-20,10,11,21,27,31,39,43,29,57709876,44073768000
317,2008-12-27,3,10,11,22,36,39,8,25,68700228,44135114000
318,2009-01-03,2,17,19,20,34,45,21,28,64684104,46663728000
319,2009-01-10,5,8,22,28,33,42,37,26,68450622,45435183000
320,2009-01-17,16,19,23,25,41,45,3,25,73507572,46659886000
321,2009-01-24,12,18,20,21,25,34,42,35,55975318,50617982000
322,2009-01-31,9,18,29,32,38,43,20,29,65673956,48948294000
323,2009-02-07,10,14,15,32,36,42,3,27,72149402,49209477000
324,2009-02-14,2,4,21,25,33,36,17,40,46628259,47988317000
325,2009-02-21,7,17,20,32,44,45,33,33,54730984,46636979000
326,2009-02-28,16,23,25,33,36,39,40,31,59101115,47224551000
327,2009-03-07,6,12,13,17,32,44,24,39,45265372,45791560000
328,2009-03-14,1,6,9,16,17,28,24,30,60659864,47316988000
329,2009-03-21,9,17,19,30,35,42,4,33,55466400,47198504000
330,2009-03-28,3,4,16,17,19,20,23,32,54481885,45859496000
331,2009-04-04,4,9,14,26,31,44,39,45,40109308,46641467000
332,2009-04-11,16,17,34,36,42,45,3,37,48989132,46042557000
333,2009-04-18,5,14,27,30,39,43,35,36,50263473,46019070000
334,2009-04-25,13,15,21,29,39,43,33,31,57317317,44439656000
335,2009-05-02,5,9,16,23,26,45,21,28,60639658,43977478000
336,2009-05-09,3,5,20,34,35,44,16,30,56187755,43069333000
337,2009-05-16,1,5,14,18,32,37,4,33,50808102,43432467000
338,2009-05-23,2,13,34,38,42,45,16,39,43377321,43136020000
339,2009-05-30,6,8,14,21,30,37,45,32,51411485,42035640000
340,2009-06-06,18,24,26,29,34,38,32,35,47979773,42892121000
341,2009-06-13,1,8,19,34,39,43,41,33,52931588,44722448000
342,2009-06-20,1,13,14,33,34,43,25,29,59553376,43782188000
343,2009-06-27,1,10,17,29,31,43,15,29,59212173,43656460000
344,2009-07-04,1,2,15,28,34,45,38,23,74418448,43838886000
345,2009-07-11,15,20,23,29,39,42,2,38,45645418,43530937000
346,2009-07-18,5,13,14,22,44,45,33,26,64670749,42862389000
347,2009-07-25,3,8,13,27,32,42,10,38,44720922,44219740000
348,2009-08-01,3,14,17,20,24,31,34,37,44594514,42786310000
349,2009-08-08,5,13,14,20,24,25,36,37,45313636,43433870000
350,2009-08-15,1,8,18,24,29,33,35,23,71807770,42681094000
351,2009-08-22,5,25,27,29,34,36,33,29,59387521,43947492000
352,2009-08-29,5,16,17,20,26,41,24,29,59753733,44719545000
353,2009-09-05,11,16,19,22,29,36,26,29,60814233,44552925000
354,2009-09-12,14,19,36,43,44,45,1,34,52070205,44709689000
355,2009-09-19,5,8,29,30,35,44,38,24,74493917,45017050000
356,2009-09-26,2,8,14,25,29,45,24,37,46912917,44684958000
357,2009-10-03,10,14,18,21,36,37,5,27,65597462,45232409000
358,2009-10-10,1,9,10,12,21,40,37,44,39461988,45651829000
359,2009-10-17,1,10,19,20,24,40,23,37,46368022,45288256000
360,2009-10-24,4,16,23,25,35,40,27,33,54041155,45719032000
361,2009-10-31,5,10,16,24,27,35,33,34,50548068,45062676000
362,2009-11-07,2,3,22,27,30,40,29,26,66516333,44336363000
363,2009-11-14,11,12,14,21,32,38,6,33,52846679,44863948000
364,2009-11-21,2,5,7,14,16,40,4,37,45620087,44192004000
365,2009-11-28,5,15,21,25,26,30,31,35,50941509,45806066000
366,2009-12-05,5,12,19,26,27,44,38,39,45739777,45962166000
367,2009-12-12,3,22,25,29,32,44,19,37,49874578,46459307000
368,2009-12-19,11,21,24,30,39,45,26,38,45003403,43746046000
369,2009-12-26,17,20,35,36,41,43,21,31,59425089,46716275000
370,2010-01-02,16,18,24,42,44,45,17,32,61211425,49762652000
371,2010-01-09,7,9,15,26,27,42,18,29,61315597,45843166000
372,2010-01-16,8,11,14,16,18,21,13,37,48348373,46167066000
373,2010-01-23,15,26,37,42,43,45,9,29,64179337,47095065000
374,2010-01-30,11,13,15,17,25,34,26,27,68255776,48081319000
375,2010-02-06,4,8,19,25,27,45,7,42,43924558,47864938000
376,2010-02-13,1,11,13,24,28,40,7,51,38370899,50657096000
377,2010-02-20,6,22,29,37,43,45,23,22,88911032,49218434000
378,2010-02-27,5,22,29,31,34,39,43,30,64380507,48866964000
379,2010-03-06,6,10,22,31,35,40,19,71,26274645,47537685000
380,2010-03-13,1,2,8,17,26,37,27,42,42607537,47164371000
381,2010-03-20,1,5,10,12,16,20,11,62,28895267,47943113000
382,2010-03-27,10,15,22,24,27,42,19,32,57708591,47401288000
383,2010-04-03,4,15,28,33,37,40,25,28,64223609,46067051000
384,2010-04-10,11,22,24,32,36,38,7,41,44618710,46888942000
385,2010-04-17,7,12,19,21,29,32,9,36,49973282,46243483000
386,2010-04-24,4,7,10,19,31,40,26,59,29461959,45907331000
387,2010-05-01,1,26,31,34,40,43,20,26,68603424,45459960000
388,2010-05-08,1,8,9,17,29,32,45,30,56567642,44308705000
389,2010-05-15,7,16,18,20,23,26,3,36,49051552,45534027000
390,2010-05-22,16,17,28,37,39,40,15,37,46729721,44189673000
391,2010-05-29,10,11,18,22,28,39,30,32,54733072,45161516000
392,2010-06-05,1,3,7,8,24,42,43,30,57117624,45528684000
393,2010-06-12,9,16,28,40,41,43,21,35,51885866,45989116000
394,2010-06-19,1,13,20,22,25,28,15,33,53809844,45192337000
395,2010-06-26,11,15,20,26,31,35,7,42,42628750,46192580000
396,2010-07-03,18,20,31,34,40,45,30,34,51927671,45463736000
397,2010-07-10,12,13,17,22,25,33,8,31,56443867,45890007000
398,2010-07-17,10,15,20,23,42,44,7,31,57647862,45427304000
399,2010-07-24,1,2,9,17,19,42,20,40,42561833,45551786000
400,2010-07-31,9,21,27,34,41,43,2,30,59329652,45379731000
401,2010-08-07,6,12,18,31,38,43,9,29,60424904,43491965000
402,2010-08-14,5,9,15,19,22,36,32,41,43287906,45002946000
403,2010-08-21,10,14,22,24,28,37,26,43,41131723,44911335000
404,2010-08-28,5,20,21,24,33,40,36,26,68589604,45389825000
405,2010-09-04,1,2,10,25,26,44,4,35,50626829,45220904000
406,2010-09-11,7,12,21,24,27,36,45,33,54448042,46062206000
407,2010-09-18,6,7,13,16,24,25,1,27,71283649,48429586000
408,2010-09-25,9,20,21,22,30,37,16,33,56448885,46406711000
409,2010-10-02,6,9,21,31,32,40,38,36,53647959,47924584000
